geometry.coordinates,date_tm-value,stn_nam-value,air_temp,air_temp-qa,dwpt_temp,rel_hum,rel_hum-qa,avg_wnd_spd_10m_pst10mts,avg_wnd_spd_10m_pst1hr,rnfl_amt_pst1mt,rnfl_amt_pst1mt-qa,rnfl_amt_pst1hr,rnfl_amt_pst1hr-qa,dwpt_temp-qa,avg_vis_pst10mts,vis,vis-qa
"[-123.1333, 49.0039, 8.3]",2025-12-24T08:06:00.000Z,TSAWWASSEN FERRY AUTO,,,,,,7.9,7.3,,,,,,,,
"[-123.264704, 49.330352, 15.0]",2025-12-24T08:06:00.000Z,POINT ATKINSON,4.9,100.0,0.5,73.0,100.0,2.4,2.3,,,,,,,,
"[-123.002436, 49.125992, 4.6]",2025-12-24T08:07:00.000Z,DELTA BURNS BOG,1.7,100.0,1.6,100.0,100.0,0.6,0.3,0.0,100.0,0.0,,,,,
"[-123.264704, 49.330352, 15.0]",2025-12-24T08:07:00.000Z,POINT ATKINSON,4.9,100.0,0.4,73.0,100.0,2.7,2.3,,,,,,,,
"[-122.690076, 49.208307, 6.3]",2025-12-24T08:07:00.000Z,PITT MEADOWS CS,2.8,100.0,2.0,94.0,100.0,0.7,1.5,0.0,100.0,0.0,,,,,
"[-123.193392, 49.347059, 170.885]",2025-12-24T08:07:00.000Z,WEST VANCOUVER AUT,2.8,100.0,1.3,90.0,100.0,1.1,0.7,0.0,100.0,0.0,,,,,
"[-123.1333, 49.0039, 8.3]",2025-12-24T08:07:00.000Z,TSAWWASSEN FERRY AUTO,,,,,,7.7,7.3,,,,,,,,
"[-122.7839, 49.0181, 13.0]",2025-12-24T08:07:00.000Z,WHITE ROCK,4.4,100.0,0.4,75.0,100.0,7.3,5.2,0.0,100.0,0.0,,,,,
"[-123.264704, 49.330352, 15.0]",2025-12-24T08:08:00.000Z,POINT ATKINSON,4.9,100.0,0.4,72.0,100.0,2.8,2.4,,,,,,,,
"[-122.7839, 49.0181, 13.0]",2025-12-24T08:08:00.000Z,WHITE ROCK,4.4,100.0,0.3,75.0,100.0,7.4,5.3,0.0,100.0,0.0,,,,,
"[-123.193392, 49.347059, 170.885]",2025-12-24T08:08:00.000Z,WEST VANCOUVER AUT,2.8,100.0,1.3,90.0,100.0,0.9,0.7,0.0,100.0,0.0,,,,,
"[-123.002436, 49.125992, 4.6]",2025-12-24T08:08:00.000Z,DELTA BURNS BOG,1.7,100.0,1.7,100.0,100.0,0.5,0.3,0.0,100.0,0.0,,,,,
"[-122.690076, 49.208307, 6.3]",2025-12-24T08:08:00.000Z,PITT MEADOWS CS,2.8,100.0,2.0,94.0,100.0,0.7,1.5,0.0,100.0,0.0,,,,,
"[-123.1333, 49.0039, 8.3]",2025-12-24T08:08:00.000Z,TSAWWASSEN FERRY AUTO,,,,,,7.7,7.3,,,,,,,,
"[-122.690076, 49.208307, 6.3]",2025-12-24T08:09:00.000Z,PITT MEADOWS CS,2.7,100.0,1.9,94.0,100.0,0.7,1.5,0.0,100.0,0.0,,,,,
"[-122.7839, 49.0181, 13.0]",2025-12-24T08:09:00.000Z,WHITE ROCK,4.4,100.0,0.3,75.0,100.0,7.7,5.4,0.0,100.0,0.0,,,,,
"[-123.193392, 49.347059, 170.885]",2025-12-24T08:09:00.000Z,WEST VANCOUVER AUT,2.8,100.0,1.3,90.0,100.0,0.9,0.7,0.0,100.0,0.0,,,,,
"[-123.002436, 49.125992, 4.6]",2025-12-24T08:09:00.000Z,DELTA BURNS BOG,1.7,100.0,1.7,100.0,100.0,0.5,0.3,0.0,100.0,0.0,,,,,
"[-123.1333, 49.0039, 8.3]",2025-12-24T08:09:00.000Z,TSAWWASSEN FERRY AUTO,,,,,,7.6,7.2,,,,,,,,
"[-123.264704, 49.330352, 15.0]",2025-12-24T08:09:00.000Z,POINT ATKINSON,4.9,100.0,0.5,73.0,100.0,2.3,2.4,,,,,,,,
"[-122.690076, 49.208307, 6.3]",2025-12-24T08:10:00.000Z,PITT MEADOWS CS,2.7,100.0,1.9,94.0,100.0,0.7,1.5,0.0,100.0,0.0,,,,,
"[-123.1333, 49.0039, 8.3]",2025-12-24T08:10:00.000Z,TSAWWASSEN FERRY AUTO,,,,,,7.5,7.2,,,,,,,,
"[-123.002436, 49.125992, 4.6]",2025-12-24T08:10:00.000Z,DELTA BURNS BOG,1.7,100.0,1.7,100.0,100.0,0.5,0.3,0.0,100.0,0.0,,,,,
"[-123.264704, 49.330352, 15.0]",2025-12-24T08:10:00.000Z,POINT ATKINSON,5.0,100.0,0.7,74.0,100.0,2.1,2.4,,,,,,,,
"[-123.193392, 49.347059, 170.885]",2025-12-24T08:10:00.000Z,WEST VANCOUVER AUT,2.8,100.0,1.3,90.0,100.0,0.9,0.7,0.0,100.0,0.0,,,,,
"[-122.7839, 49.0181, 13.0]",2025-12-24T08:10:00.000Z,WHITE ROCK,4.4,100.0,0.3,75.0,100.0,7.8,5.4,0.0,100.0,0.0,,,,,
"[-123.1333, 49.0039, 8.3]",2025-12-24T08:11:00.000Z,TSAWWASSEN FERRY AUTO,,,,,,7.5,7.2,,,,,,,,
"[-123.264704, 49.330352, 15.0]",2025-12-24T08:11:00.000Z,POINT ATKINSON,5.2,100.0,1.0,74.0,100.0,2.1,2.4,,,,,,,,
"[-123.002436, 49.125992, 4.6]",2025-12-24T08:11:00.000Z,DELTA BURNS BOG,1.7,100.0,1.7,100.0,100.0,0.5,0.3,0.0,100.0,0.0,,,,,
"[-123.193392, 49.347059, 170.885]",2025-12-24T08:11:00.000Z,WEST VANCOUVER AUT,2.8,100.0,1.3,90.0,100.0,0.9,0.7,0.0,100.0,0.0,,,,,
"[-122.7839, 49.0181, 13.0]",2025-12-24T08:11:00.000Z,WHITE ROCK,4.4,100.0,0.3,75.0,100.0,7.5,5.4,0.0,100.0,0.0,,,,,
"[-122.690076, 49.208307, 6.3]",2025-12-24T08:11:00.000Z,PITT MEADOWS CS,2.7,100.0,1.9,94.0,100.0,0.7,1.5,0.0,100.0,0.0,,,,,
"[-123.1333, 49.0039, 8.3]",2025-12-24T08:12:00.000Z,TSAWWASSEN FERRY AUTO,,,,,,7.3,7.2,,,,,,,,
"[-123.002436, 49.125992, 4.6]",2025-12-24T08:12:00.000Z,DELTA BURNS BOG,1.7,100.0,1.7,100.0,100.0,0.4,0.3,0.0,100.0,0.0,,,,,
"[-123.193392, 49.347059, 170.885]",2025-12-24T08:12:00.000Z,WEST VANCOUVER AUT,2.8,100.0,1.3,90.0,100.0,0.9,0.6,0.0,100.0,0.0,,,,,
"[-122.690076, 49.208307, 6.3]",2025-12-24T08:12:00.000Z,PITT MEADOWS CS,2.7,100.0,1.9,94.0,100.0,0.6,1.5,0.0,100.0,0.0,,,,,
"[-122.7839, 49.0181, 13.0]",2025-12-24T08:12:00.000Z,WHITE ROCK,4.4,100.0,0.4,75.0,100.0,7.1,5.4,0.0,100.0,0.0,,,,,
"[-123.264704, 49.330352, 15.0]",2025-12-24T08:12:00.000Z,POINT ATKINSON,5.2,100.0,0.9,74.0,100.0,2.1,2.4,,,,,,,,
"[-123.264704, 49.330352, 15.0]",2025-12-24T08:13:00.000Z,POINT ATKINSON,5.2,100.0,0.8,73.0,100.0,2.1,2.4,,,,,,,,
"[-123.1333, 49.0039, 8.3]",2025-12-24T08:13:00.000Z,TSAWWASSEN FERRY AUTO,,,,,,7.3,7.1,,,,,,,,
"[-123.193392, 49.347059, 170.885]",2025-12-24T08:13:00.000Z,WEST VANCOUVER AUT,2.8,100.0,1.3,89.0,100.0,0.8,0.6,0.0,100.0,0.0,,,,,
"[-122.690076, 49.208307, 6.3]",2025-12-24T08:13:00.000Z,PITT MEADOWS CS,2.7,100.0,1.9,94.0,100.0,0.5,1.5,0.0,100.0,0.0,,,,,
"[-122.7839, 49.0181, 13.0]",2025-12-24T08:13:00.000Z,WHITE ROCK,4.4,100.0,0.4,75.0,100.0,6.6,5.4,0.0,100.0,0.0,,,,,
"[-123.002436, 49.125992, 4.6]",2025-12-24T08:13:00.000Z,DELTA BURNS BOG,1.7,100.0,1.7,100.0,100.0,0.4,0.3,0.0,100.0,0.0,,,,,
"[-123.1333, 49.0039, 8.3]",2025-12-24T08:14:00.000Z,TSAWWASSEN FERRY AUTO,,,,,,7.5,7.2,,,,,,,,
"[-123.264704, 49.330352, 15.0]",2025-12-24T08:14:00.000Z,POINT ATKINSON,5.2,100.0,0.8,73.0,100.0,2.3,2.4,,,,,,,,
"[-123.193392, 49.347059, 170.885]",2025-12-24T08:14:00.000Z,WEST VANCOUVER AUT,2.8,100.0,1.2,89.0,100.0,0.8,0.7,0.0,100.0,0.0,,,,,
"[-122.7839, 49.0181, 13.0]",2025-12-24T08:14:00.000Z,WHITE ROCK,4.4,100.0,0.4,75.0,100.0,6.7,5.4,0.0,100.0,0.0,,,,,
"[-123.002436, 49.125992, 4.6]",2025-12-24T08:14:00.000Z,DELTA BURNS BOG,1.7,100.0,1.7,100.0,100.0,0.3,0.3,0.0,100.0,0.0,,,,,
"[-122.690076, 49.208307, 6.3]",2025-12-24T08:14:00.000Z,PITT MEADOWS CS,2.7,100.0,1.9,94.0,100.0,0.4,1.4,0.0,100.0,0.0,,,,,
"[-123.1333, 49.0039, 8.3]",2025-12-24T08:15:00.000Z,TSAWWASSEN FERRY AUTO,,,,,,7.6,7.2,,,,,,,,
"[-123.002436, 49.125992, 4.6]",2025-12-24T08:15:00.000Z,DELTA BURNS BOG,1.7,100.0,1.6,100.0,100.0,0.1,0.3,0.0,100.0,0.0,,,,,
"[-123.193392, 49.347059, 170.885]",2025-12-24T08:15:00.000Z,WEST VANCOUVER AUT,2.9,100.0,1.3,89.0,100.0,0.7,0.7,0.0,100.0,0.0,,,,,
"[-122.7839, 49.0181, 13.0]",2025-12-24T08:15:00.000Z,WHITE ROCK,4.4,100.0,0.4,75.0,100.0,6.5,5.4,0.0,100.0,0.0,,,,,
"[-122.690076, 49.208307, 6.3]",2025-12-24T08:15:00.000Z,PITT MEADOWS CS,2.8,100.0,1.9,94.0,100.0,0.2,1.4,0.0,100.0,0.0,,,,,
"[-123.264704, 49.330352, 15.0]",2025-12-24T08:15:00.000Z,POINT ATKINSON,5.2,100.0,0.9,73.0,100.0,2.5,2.4,,,,,,,,
"[-123.002436, 49.125992, 4.6]",2025-12-24T08:16:00.000Z,DELTA BURNS BOG,1.7,100.0,1.6,100.0,100.0,0.0,0.3,0.0,100.0,0.0,,,,,
"[-123.1333, 49.0039, 8.3]",2025-12-24T08:16:00.000Z,TSAWWASSEN FERRY AUTO,,,,,,7.7,7.2,,,,,,,,
"[-123.193392, 49.347059, 170.885]",2025-12-24T08:16:00.000Z,WEST VANCOUVER AUT,2.9,100.0,1.3,89.0,100.0,0.6,0.7,0.0,100.0,0.0,,,,,
"[-122.690076, 49.208307, 6.3]",2025-12-24T08:16:00.000Z,PITT MEADOWS CS,2.8,100.0,2.0,94.0,100.0,0.1,1.4,0.0,100.0,0.0,,,,,
"[-122.7839, 49.0181, 13.0]",2025-12-24T08:16:00.000Z,WHITE ROCK,4.4,100.0,0.3,75.0,100.0,6.1,5.4,0.0,100.0,0.0,,,,,
"[-123.264704, 49.330352, 15.0]",2025-12-24T08:16:00.000Z,POINT ATKINSON,5.2,100.0,0.9,73.0,100.0,2.7,2.4,,,,,,,,
"[-123.193392, 49.347059, 170.885]",2025-12-24T08:17:00.000Z,WEST VANCOUVER AUT,2.9,100.0,1.3,89.0,100.0,0.7,0.7,0.0,100.0,0.0,,,,,
"[-122.690076, 49.208307, 6.3]",2025-12-24T08:17:00.000Z,PITT MEADOWS CS,2.8,100.0,1.9,94.0,100.0,0.0,1.4,0.0,100.0,0.0,,,,,
"[-123.002436, 49.125992, 4.6]",2025-12-24T08:17:00.000Z,DELTA BURNS BOG,1.7,100.0,1.6,100.0,100.0,0.0,0.3,0.0,100.0,0.0,,,,,
"[-123.1333, 49.0039, 8.3]",2025-12-24T08:17:00.000Z,TSAWWASSEN FERRY AUTO,,,,,,7.8,7.2,,,,,,,,
"[-123.264704, 49.330352, 15.0]",2025-12-24T08:17:00.000Z,POINT ATKINSON,5.2,100.0,0.8,73.0,100.0,2.6,2.4,,,,,,,,
"[-122.7839, 49.0181, 13.0]",2025-12-24T08:17:00.000Z,WHITE ROCK,4.3,100.0,0.3,75.0,100.0,6.0,5.5,0.0,100.0,0.0,,,,,
"[-123.264704, 49.330352, 15.0]",2025-12-24T08:18:00.000Z,POINT ATKINSON,5.2,100.0,0.8,73.0,100.0,2.4,2.4,,,,,,,,
"[-122.690076, 49.208307, 6.3]",2025-12-24T08:18:00.000Z,PITT MEADOWS CS,2.8,100.0,1.9,94.0,100.0,0.0,1.4,0.0,100.0,0.0,,,,,
"[-123.1333, 49.0039, 8.3]",2025-12-24T08:18:00.000Z,TSAWWASSEN FERRY AUTO,,,,,,7.6,7.2,,,,,,,,
"[-122.7839, 49.0181, 13.0]",2025-12-24T08:18:00.000Z,WHITE ROCK,4.3,100.0,0.4,75.0,100.0,6.1,5.5,0.0,100.0,0.0,,,,,
"[-123.193392, 49.347059, 170.885]",2025-12-24T08:18:00.000Z,WEST VANCOUVER AUT,2.9,100.0,1.3,89.0,100.0,0.7,0.7,0.0,100.0,0.0,,,,,
"[-123.002436, 49.125992, 4.6]",2025-12-24T08:18:00.000Z,DELTA BURNS BOG,1.6,100.0,1.6,100.0,100.0,0.0,0.2,0.0,100.0,0.0,,,,,
"[-123.193392, 49.347059, 170.885]",2025-12-24T08:19:00.000Z,WEST VANCOUVER AUT,2.9,100.0,1.4,90.0,100.0,0.7,0.7,0.0,100.0,0.0,,,,,
"[-122.690076, 49.208307, 6.3]",2025-12-24T08:19:00.000Z,PITT MEADOWS CS,2.7,100.0,1.9,94.0,100.0,0.0,1.4,0.0,100.0,0.0,,,,,
"[-123.002436, 49.125992, 4.6]",2025-12-24T08:19:00.000Z,DELTA BURNS BOG,1.6,100.0,1.6,100.0,100.0,0.0,0.2,0.0,100.0,0.0,,,,,
"[-123.264704, 49.330352, 15.0]",2025-12-24T08:19:00.000Z,POINT ATKINSON,5.2,100.0,0.8,73.0,100.0,2.5,2.4,,,,,,,,
"[-123.1333, 49.0039, 8.3]",2025-12-24T08:19:00.000Z,TSAWWASSEN FERRY AUTO,,,,,,7.8,7.3,,,,,,,,
"[-122.7839, 49.0181, 13.0]",2025-12-24T08:19:00.000Z,WHITE ROCK,4.3,100.0,0.4,75.0,100.0,5.6,5.5,0.0,100.0,0.0,,,,,
"[-122.7839, 49.0181, 13.0]",2025-12-24T08:20:00.000Z,WHITE ROCK,4.3,100.0,0.4,76.0,100.0,5.5,5.5,0.0,100.0,0.0,,,,,
"[-123.1333, 49.0039, 8.3]",2025-12-24T08:20:00.000Z,TSAWWASSEN FERRY AUTO,,,,,,7.9,7.3,,,,,,,,
"[-123.193392, 49.347059, 170.885]",2025-12-24T08:20:00.000Z,WEST VANCOUVER AUT,2.9,100.0,1.4,90.0,100.0,0.7,0.7,0.0,100.0,0.0,,,,,
"[-123.002436, 49.125992, 4.6]",2025-12-24T08:20:00.000Z,DELTA BURNS BOG,1.6,100.0,1.6,100.0,100.0,0.1,0.2,0.0,100.0,0.0,,,,,
"[-122.690076, 49.208307, 6.3]",2025-12-24T08:20:00.000Z,PITT MEADOWS CS,2.7,100.0,1.9,94.0,100.0,0.0,1.4,0.0,100.0,0.0,,,,,
"[-123.264704, 49.330352, 15.0]",2025-12-24T08:20:00.000Z,POINT ATKINSON,5.2,100.0,0.9,73.0,100.0,2.5,2.4,,,,,,,,
"[-123.193392, 49.347059, 170.885]",2025-12-24T08:21:00.000Z,WEST VANCOUVER AUT,2.9,100.0,1.4,90.0,100.0,0.8,0.7,0.0,100.0,0.0,,,,,
"[-123.1333, 49.0039, 8.3]",2025-12-24T08:21:00.000Z,TSAWWASSEN FERRY AUTO,,,,,,7.8,7.3,,,,,,,,
"[-122.690076, 49.208307, 6.3]",2025-12-24T08:21:00.000Z,PITT MEADOWS CS,2.7,100.0,1.9,94.0,100.0,0.0,1.4,0.0,100.0,0.0,,,,,
"[-123.002436, 49.125992, 4.6]",2025-12-24T08:21:00.000Z,DELTA BURNS BOG,1.7,100.0,1.6,100.0,100.0,0.1,0.2,0.0,100.0,0.0,,,,,
"[-122.7839, 49.0181, 13.0]",2025-12-24T08:21:00.000Z,WHITE ROCK,4.3,100.0,0.4,76.0,100.0,5.5,5.6,0.0,100.0,0.0,,,,,
"[-123.264704, 49.330352, 15.0]",2025-12-24T08:21:00.000Z,POINT ATKINSON,5.2,100.0,0.8,73.0,100.0,2.4,2.3,,,,,,,,
"[-123.002436, 49.125992, 4.6]",2025-12-24T08:22:00.000Z,DELTA BURNS BOG,1.7,100.0,1.7,100.0,100.0,0.2,0.2,0.0,100.0,0.0,,,,,
"[-123.193392, 49.347059, 170.885]",2025-12-24T08:22:00.000Z,WEST VANCOUVER AUT,2.9,100.0,1.4,89.0,100.0,0.9,0.7,0.0,100.0,0.0,,,,,
"[-122.7839, 49.0181, 13.0]",2025-12-24T08:22:00.000Z,WHITE ROCK,4.3,100.0,0.4,76.0,100.0,5.3,5.6,0.0,100.0,0.0,,,,,
